netflix_id,imdb_id,year,title,summary_text,director,actor_1,actor_2,actor_3,genre_1,genre_2,genre_3,summary_text_new,descriptor_1,descriptor_2,descriptor_3
2372.0,tt0372183,2004,The Bourne Supremacy,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.",Paul Greengrass,Matt Damon,Franka Potente,Joan Allen,Action,Mystery,Thriller,when jason bourne is framed for a cia operation gone awry he is forced to resume his former life as a trained assassin to survive ,resume,gone,bourne
3427.0,tt0120912,2002,Men in Black II,Agent J is sent to find Agent K and restore his memory after the re-appearance of a case from K's past.,Barry Sonnenfeld,Tommy Lee Jones,Will Smith,Rip Torn,Action,Adventure,Comedy,agent j is sent to find agent k and restore his memory after the re appearance of a case from k s past ,agent,restore,appearance
2782.0,tt0112573,1995,Braveheart,"When his secret bride is executed for assaulting an English soldier who tried to rape her, William Wallace begins a revolt against King Edward I of England.",Mel Gibson,Mel Gibson,Sophie Marceau,Patrick McGoohan,Biography,Drama,History,when his secret bride is executed for assaulting an english soldier who tried to rape her william wallace begins a revolt against king edward i of england ,william,wallace,tried
3106.0,tt0099653,1990,Ghost,"After a young man is murdered, his spirit stays behind to warn his lover of impending danger, with the help of a reluctant psychic.",Jerry Zucker,Patrick Swayze,Demi Moore,Whoopi Goldberg,Drama,Fantasy,Romance,after a young man is murdered his spirit stays behind to warn his lover of impending danger with the help of a reluctant psychic ,warn,stays,impending
1220.0,tt0328107,2004,Man on Fire,"In Mexico City, a former assassin swears vengeance on those who committed an unspeakable act against the family he was hired to protect.",Tony Scott,Denzel Washington,Christopher Walken,Dakota Fanning,Action,Crime,Drama,in mexico city a former assassin swears vengeance on those who committed an unspeakable act against the family he was hired to protect ,unspeakable,swears,mexico
2862.0,tt0102926,1991,The Silence of the Lambs,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",Jonathan Demme,Jodie Foster,Anthony Hopkins,Lawrence A. Bonney,Crime,Drama,Thriller,a young f b i cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer a madman who skins his victims ,killer,help,victims
4123.0,tt0129290,1998,Patch Adams,"The true story of a heroic man, Hunter ""Patch"" Adams, determined to become a medical doctor because he enjoys helping people. He ventured where no doctor had ventured before, using humour and pathos.",Tom Shadyac,Robin Williams,Daniel London,Monica Potter,Biography,Comedy,Drama,the true story of a heroic man hunter patch adams determined to become a medical doctor because he enjoys helping people he ventured where no doctor had ventured before using humour and pathos ,ventured,doctor,pathos
1307.0,tt0257076,2003,S.W.A.T.,"An imprisoned drug kingpin offers a huge cash reward to anyone that can break him out of police custody, and only the L.A.P.D.'s Special Weapons and Tactics team can prevent it.",Clark Johnson,Samuel L. Jackson,Colin Farrell,Michelle Rodriguez,Action,Adventure,Crime,an imprisoned drug kingpin offers a huge cash reward to anyone that can break him out of police custody and only the l a p d s special weapons and tactics team can prevent it ,tactics,reward,offers
30.0,tt0337741,2003,Something's Gotta Give,A swinger on the cusp of being a senior citizen with a taste for young women falls in love with an accomplished woman closer to his age.,Nancy Meyers,Jack Nicholson,Diane Keaton,Keanu Reeves,Comedy,Drama,Romance,a swinger on the cusp of being a senior citizen with a taste for young women falls in love with an accomplished woman closer to his age ,taste,swinger,cusp
3282.0,tt0375063,2004,Sideways,"Two men reaching middle age with not much to show but disappointment embark on a week-long road trip through California's wine country, just as one is about to take a trip down the aisle.",Alexander Payne,Paul Giamatti,Thomas Haden Church,Virginia Madsen,Comedy,Drama,Romance,two men reaching middle age with not much to show but disappointment embark on a week long road trip through california s wine country just as one is about to take a trip down the aisle ,trip,wine,week
457.0,tt0378194,2004,Kill Bill: Vol. 2,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",Quentin Tarantino,Uma Thurman,David Carradine,Michael Madsen,Action,Crime,Thriller,the bride continues her quest of vengeance against her former boss and lover bill the reclusive bouncer budd and the treacherous one eyed elle ,treacherous,eyed,elle
3151.0,tt0374900,2004,Napoleon Dynamite,"A listless and alienated teenager decides to help his new friend win the class presidency in their small western high school, while he must deal with his bizarre family life back home.",Jared Hess,Jon Heder,Efren Ramirez,Jon Gries,Comedy,,nan,a listless and alienated teenager decides to help his new friend win the class presidency in their small western high school while he must deal with his bizarre family life back home ,western,presidency,listless
1542.0,tt0108160,1993,Sleepless in Seattle,A recently widowed man's son calls a radio talk-show in an attempt to find his father a partner.,Nora Ephron,Tom Hanks,Meg Ryan,Ross Malinger,Comedy,Drama,Romance,a recently widowed man s son calls a radio talk show in an attempt to find his father a partner ,calls,widowed,talk
1428.0,tt0292506,2003,The Recruit,A brilliant young CIA trainee is asked by his mentor to help find a mole in the Agency.,Roger Donaldson,Al Pacino,Colin Farrell,Bridget Moynahan,Action,Thriller,,a brilliant young cia trainee is asked by his mentor to help find a mole in the agency ,trainee,mole,agency
1798.0,tt0093409,1987,Lethal Weapon,Two newly paired cops who are complete opposites must put aside their differences in order to catch a gang of drug smugglers.,Richard Donner,Mel Gibson,Danny Glover,Gary Busey,Action,Crime,Thriller,two newly paired cops who are complete opposites must put aside their differences in order to catch a gang of drug smugglers ,smugglers,paired,opposites
1865.0,tt0338013,2004,Eternal Sunshine of the Spotless Mind,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",Michel Gondry,Jim Carrey,Kate Winslet,Tom Wilkinson,Drama,Romance,Sci-Fi,when their relationship turns sour a couple undergoes a medical procedure to have each other erased from their memories ,undergoes,sour,erased
1180.0,tt0268978,2001,A Beautiful Mind,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",Ron Howard,Russell Crowe,Ed Harris,Jennifer Connelly,Biography,Drama,,after john nash a brilliant but asocial mathematician accepts secret work in cryptography his life takes a turn for the nightmarish ,nash,mathematician,cryptography
886.0,tt0350258,2004,Ray,"The story of the life and career of the legendary rhythm and blues musician Ray Charles, from his humble beginnings in the South, where he went blind at age seven, to his meteoric rise to stardom during the 1950s and 1960s.",Taylor Hackford,Jamie Foxx,Regina King,Kerry Washington,Biography,Drama,Music,the story of the life and career of the legendary rhythm and blues musician ray charles from his humble beginnings in the south where he went blind at age seven to his meteoric rise to stardom during the s and s ,went,stardom,rise
2913.0,tt0308644,2004,Finding Neverland,The story of Sir J.M. Barrie's friendship with a family who inspired him to create Peter Pan.,Marc Forster,Johnny Depp,Kate Winslet,Julie Christie,Biography,Drama,Family,the story of sir j m barrie s friendship with a family who inspired him to create peter pan ,sir,barrie,peter
4356.0,tt0257044,2002,Road to Perdition,"A mob enforcer's son witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge.",Sam Mendes,Tom Hanks,Tyler Hoechlin,Rob Maxey,Crime,Drama,Thriller,a mob enforcer s son witnesses a murder forcing him and his father to take to the road and his father down a path of redemption and revenge ,father,redemption,path
2122.0,tt0120601,1999,Being John Malkovich,A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.,Spike Jonze,John Cusack,Cameron Diaz,Catherine Keener,Comedy,Drama,Fantasy,a puppeteer discovers a portal that leads literally into the head of movie star john malkovich ,puppeteer,portal,malkovich
3825.0,tt0164184,2002,The Sum of All Fears,"C.I.A. analyst Jack Ryan must stop the plans of a Neo-Nazi faction that threatens to induce a catastrophic conflict between the United States and Russia's newly elected President by detonating a nuclear weapon at a football game in Baltimore, Maryland.",Phil Alden Robinson,Ben Affleck,Morgan Freeman,Ian Mongrain,Action,Drama,Thriller,c i a analyst jack ryan must stop the plans of a neo nazi faction that threatens to induce a catastrophic conflict between the united states and russia s newly elected president by detonating a nuclear weapon at a football game in baltimore maryland ,weapon,ryan,russia
758.0,tt0377092,2004,Mean Girls,"Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.",Mark Waters,Lindsay Lohan,Jonathan Bennett,Rachel McAdams,Comedy,,nan,cady heron is a hit with the plastics the a list girl clique at her new school until she makes the mistake of falling for aaron samuels the ex boyfriend of alpha plastic regina george ,samuels,regina,plastics
2391.0,tt0343135,2004,Along Came Polly,A buttoned up newlywed finds his too organized life falling into chaos when he falls in love with an old classmate.,John Hamburg,Ben Stiller,Jennifer Aniston,Debra Messing,Comedy,Romance,,a buttoned up newlywed finds his too organized life falling into chaos when he falls in love with an old classmate ,organized,newlywed,classmate
4472.0,tt0314331,2003,Love Actually,"Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England.",Richard Curtis,Hugh Grant,Martine McCutcheon,Liam Neeson,Comedy,Drama,Romance,follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before christmas in london england ,lives,loosely,interrelated
607.0,tt0111257,1994,Speed,A young police officer must prevent a bomb exploding aboard a city bus by keeping its speed above 50 mph.,Jan de Bont,Keanu Reeves,Dennis Hopper,Sandra Bullock,Action,Adventure,Crime,a young police officer must prevent a bomb exploding aboard a city bus by keeping its speed above mph ,speed,mph,exploding
313.0,tt0223897,2000,Pay It Forward,A young boy attempts to make the world a better place after his teacher gives him that chance.,Mimi Leder,Kevin Spacey,Haley Joel Osment,Helen Hunt,Drama,,nan,a young boy attempts to make the world a better place after his teacher gives him that chance ,attempts,teacher,gives
191.0,tt0594963,2003,X2: X-Men United,Add a Plot »,,Halle Berry,Alan Cumming,Hugh Jackman,Documentary,Short,,add a plot ,add,plot,
1110.0,tt0327137,2003,Secondhand Lions,"A coming-of-age story about a shy, young boy sent by his irresponsible mother to spend the summer with his wealthy, eccentric uncles in Texas.",Tim McCanlies,Haley Joel Osment,Michael Caine,Robert Duvall,Comedy,Drama,Family,a coming of age story about a shy young boy sent by his irresponsible mother to spend the summer with his wealthy eccentric uncles in texas ,uncles,shy,irresponsible
1470.0,tt0286499,2002,Bend It Like Beckham,The daughter of orthodox Sikh rebels against her parents' traditionalism and joins a football team.,Gurinder Chadha,Parminder Nagra,Keira Knightley,Jonathan Rhys Meyers,Comedy,Drama,Romance,the daughter of orthodox sikh rebels against her parents traditionalism and joins a football team ,traditionalism,sikh,rebels
3917.0,tt0333766,2004,Garden State,A quietly troubled young man returns home for his mother's funeral after being estranged from his family for a decade.,Zach Braff,Zach Braff,Peter Sarsgaard,Natalie Portman,Comedy,Drama,Romance,a quietly troubled young man returns home for his mother s funeral after being estranged from his family for a decade ,quietly,funeral,decade
3756.0,tt0257360,2002,About Schmidt,"A man upon retirement, embarks on a journey to his estranged daughter's wedding, only to discover more about himself and life than he ever expected.",Alexander Payne,Jack Nicholson,Hope Davis,Dermot Mulroney,Comedy,Drama,,a man upon retirement embarks on a journey to his estranged daughter s wedding only to discover more about himself and life than he ever expected ,retirement,expected,journey
4043.0,tt0286106,2002,Signs,A family living on a farm finds mysterious crop circles in their fields which suggests something more frightening to come.,M. Night Shyamalan,Mel Gibson,Joaquin Phoenix,Rory Culkin,Drama,Mystery,Sci-Fi,a family living on a farm finds mysterious crop circles in their fields which suggests something more frightening to come ,suggests,frightening,fields
175.0,tt0105236,1992,Reservoir Dogs,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",Quentin Tarantino,Harvey Keitel,Tim Roth,Michael Madsen,Crime,Drama,Thriller,when a simple jewelry heist goes horribly wrong the surviving criminals begin to suspect that one of them is a police informant ,wrong,jewelry,informant
4345.0,tt0310793,2002,Bowling for Columbine,Filmmaker Michael Moore explores the roots of America's predilection for gun violence.,Michael Moore,Michael Moore,Charlton Heston,Marilyn Manson,Documentary,Crime,Drama,filmmaker michael moore explores the roots of america s predilection for gun violence ,roots,predilection,gun
483.0,tt0266915,2001,Rush Hour 2,"Carter and Lee head to Hong Kong for a vacation, but become embroiled in a counterfeit money scam.",Brett Ratner,Jackie Chan,Chris Tucker,John Lone,Action,Comedy,Crime,carter and lee head to hong kong for a vacation but become embroiled in a counterfeit money scam ,scam,lee,kong
985.0,tt0120616,1999,The Mummy,"At an archaeological dig in the ancient city of Hamunaptra, an American serving in the French Foreign Legion accidentally awakens a mummy who begins to wreck havoc as he searches for the reincarnation of his long-lost love.",Stephen Sommers,Brendan Fraser,Rachel Weisz,John Hannah,Action,Adventure,Fantasy,at an archaeological dig in the ancient city of hamunaptra an american serving in the french foreign legion accidentally awakens a mummy who begins to wreck havoc as he searches for the reincarnation of his long lost love ,wreck,searches,reincarnation
2342.0,tt0390521,2004,Super Size Me,"While examining the influence of the fast food industry, Morgan Spurlock personally explores the consequences on his health of a diet of solely McDonald's food for one month.",Morgan Spurlock,Morgan Spurlock,Daryl Isaacs,Chemeeka Walker,Documentary,Comedy,Drama,while examining the influence of the fast food industry morgan spurlock personally explores the consequences on his health of a diet of solely mcdonald s food for one month ,food,spurlock,solely
3333.0,tt0368447,2004,The Village,A series of events tests the beliefs of a small isolated countryside village.,M. Night Shyamalan,Sigourney Weaver,William Hurt,Joaquin Phoenix,Drama,Mystery,Thriller,a series of events tests the beliefs of a small isolated countryside village ,village,tests,beliefs
2112.0,tt0309698,2003,Identity,"Stranded at a desolate Nevada motel during a nasty rain-storm, ten strangers become acquainted with each other when they realize that they're being killed off one by one.",James Mangold,John Cusack,Ray Liotta,Amanda Peet,Mystery,Thriller,,stranded at a desolate nevada motel during a nasty rain storm ten strangers become acquainted with each other when they realize that they re being killed off one by one ,realize,rain,nevada
2095.0,tt0119528,1997,Liar Liar,A fast-track lawyer can't lie for 24 hours due to his son's birthday wish after he disappoints his son for the last time.,Tom Shadyac,Jim Carrey,Maura Tierney,Amanda Donohoe,Comedy,Fantasy,,a fast track lawyer can t lie for hours due to his son s birthday wish after he disappoints his son for the last time ,son,wish,lie
2612.0,tt0260866,2001,Don't Say a Word,"When the daughter of a psychiatrist is kidnapped, he's horrified to discover that the abductors' demand is that he break through to a post traumatic stress disorder suffering young woman who knows a secret...",Gary Fleder,Michael Douglas,Sean Bean,Brittany Murphy,Drama,Mystery,Thriller,when the daughter of a psychiatrist is kidnapped he s horrified to discover that the abductors demand is that he break through to a post traumatic stress disorder suffering young woman who knows a secret ,traumatic,suffering,stress
4266.0,tt0335345,2004,The Passion of the Christ,"Depicts the final twelve hours in the life of Jesus of Nazareth, on the day of his crucifixion in Jerusalem.",Mel Gibson,Jim Caviezel,Monica Bellucci,Maia Morgenstern,Drama,,nan,depicts the final twelve hours in the life of jesus of nazareth on the day of his crucifixion in jerusalem ,nazareth,jesus,jerusalem
2874.0,tt0319343,2003,Elf,"After discovering he is a human, a man raised as an elf at the North Pole decides to travel to New York City to locate his real father.",Jon Favreau,Will Ferrell,James Caan,Bob Newhart,Comedy,Family,Fantasy,after discovering he is a human a man raised as an elf at the north pole decides to travel to new york city to locate his real father ,real,pole,locate
3638.0,tt0172156,2003,Bad Boys II,Two loose-cannon narcotics cops investigate the flow of Ecstasy into Florida from a Cuban drug cartel.,Michael Bay,Will Smith,Martin Lawrence,Gabrielle Union,Action,Comedy,Crime,two loose cannon narcotics cops investigate the flow of ecstasy into florida from a cuban drug cartel ,loose,flow,ecstasy
798.0,tt0073195,1975,Jaws,"When a killer shark unleashes chaos on a beach community, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",Steven Spielberg,Roy Scheider,Robert Shaw,Richard Dreyfuss,Adventure,Drama,Thriller,when a killer shark unleashes chaos on a beach community it s up to a local sheriff a marine biologist and an old seafarer to hunt the beast down ,unleashes,seafarer,community
197.0,tt0364045,2004,Taking Lives,An FBI profiler is called in by French Canadian police to catch a serial killer who takes on the identity of each new victim.,D.J. Caruso,Angelina Jolie,Ethan Hawke,Kiefer Sutherland,Crime,Mystery,Thriller,an fbi profiler is called in by french canadian police to catch a serial killer who takes on the identity of each new victim ,profiler,canadian,victim
2580.0,tt0322330,2003,Freaky Friday,"An overworked mother and her daughter do not get along. When they switch bodies, each is forced to adapt to the other's life for one freaky Friday.",Mark Waters,Jamie Lee Curtis,Lindsay Lohan,Mark Harmon,Comedy,Family,Fantasy,an overworked mother and her daughter do not get along when they switch bodies each is forced to adapt to the other s life for one freaky friday ,switch,overworked,friday
1144.0,tt0101921,1991,Fried Green Tomatoes,A housewife who is unhappy with her life befriends an old lady in a nursing home and is enthralled by the tales she tells of people she used to know.,Jon Avnet,Kathy Bates,Jessica Tandy,Mary Stuart Masterson,Drama,,nan,a housewife who is unhappy with her life befriends an old lady in a nursing home and is enthralled by the tales she tells of people she used to know ,used,unhappy,nursing
2200.0,tt0233469,2002,Collateral Damage,"After his family is killed by a terrorist act, a firefighter goes in search of the one responsible.",Andrew Davis,Arnold Schwarzenegger,John Leguizamo,Francesca Neri,Action,Drama,Thriller,after his family is killed by a terrorist act a firefighter goes in search of the one responsible ,terrorist,firefighter,responsible
1202.0,tt0085995,1983,National Lampoon's Vacation,The Griswold family's cross-country drive to the Walley World theme park proves to be much more arduous than they ever anticipated.,Harold Ramis,Chevy Chase,Beverly D'Angelo,Imogene Coca,Adventure,Comedy,,the griswold family s cross country drive to the walley world theme park proves to be much more arduous than they ever anticipated ,walley,griswold,cross
3368.0,tt0218967,2000,The Family Man,"A fast-lane investment broker, offered the opportunity to see how the other half lives, wakes up to find that his sports car and girlfriend have become a mini-van and wife.",Brett Ratner,Nicolas Cage,Téa Leoni,Don Cheadle,Comedy,Drama,Fantasy,a fast lane investment broker offered the opportunity to see how the other half lives wakes up to find that his sports car and girlfriend have become a mini van and wife ,sports,offered,mini
357.0,tt0315983,2003,House of Sand and Fog,An abandoned wife is evicted from her house and starts a tragic conflict with her house's new owners.,Vadim Perelman,Jennifer Connelly,Ben Kingsley,Ron Eldard,Crime,Drama,,an abandoned wife is evicted from her house and starts a tragic conflict with her house s new owners ,house,evicted,abandoned
299.0,tt0243155,2001,Bridget Jones's Diary,A British woman is determined to improve herself while she looks for love in a year in which she keeps a personal diary.,Sharon Maguire,Renée Zellweger,Colin Firth,Hugh Grant,Comedy,Drama,Romance,a british woman is determined to improve herself while she looks for love in a year in which she keeps a personal diary ,looks,keeps,improve
3610.0,tt0104714,1992,Lethal Weapon 3,Martin Riggs and Roger Murtaugh pursue a former LAPD officer who uses his knowledge of police procedure and policies to steal and sell confiscated guns and ammunition to local street gangs.,Richard Donner,Mel Gibson,Danny Glover,Joe Pesci,Action,Crime,Thriller,martin riggs and roger murtaugh pursue a former lapd officer who uses his knowledge of police procedure and policies to steal and sell confiscated guns and ammunition to local street gangs ,uses,sell,riggs
1406.0,tt0102057,1991,Hook,"When Captain Hook kidnaps his children, an adult Peter Pan must return to Neverland and reclaim his youthful spirit in order to challenge his old enemy.",Steven Spielberg,Dustin Hoffman,Robin Williams,Julia Roberts,Adventure,Comedy,Family,when captain hook kidnaps his children an adult peter pan must return to neverland and reclaim his youthful spirit in order to challenge his old enemy ,neverland,kidnaps,challenge
3320.0,tt0276751,2002,About a Boy,"A cynical, immature young man is taught how to act like a grown-up by a little boy.",,Hugh Grant,Nicholas Hoult,Toni Collette,Comedy,Drama,Romance,a cynical immature young man is taught how to act like a grown up by a little boy ,taught,immature,like
1102.0,tt0139654,2001,Training Day,"On his first day on the job as a Los Angeles narcotics officer, a rookie cop goes beyond a full work day in training within the narcotics division of the L.A.P.D. with a rogue detective who isn't what he appears to be.",Antoine Fuqua,Denzel Washington,Ethan Hawke,Scott Glenn,Crime,Drama,Thriller,on his first day on the job as a los angeles narcotics officer a rookie cop goes beyond a full work day in training within the narcotics division of the l a p d with a rogue detective who isn t what he appears to be ,narcotics,day,rookie
1744.0,tt0086960,1984,Beverly Hills Cop,A freewheeling Detroit cop pursuing a murder investigation finds himself dealing with the very different culture of Beverly Hills.,Martin Brest,Eddie Murphy,Judge Reinhold,John Ashton,Action,Comedy,Crime,a freewheeling detroit cop pursuing a murder investigation finds himself dealing with the very different culture of beverly hills ,pursuing,hills,freewheeling
708.0,tt0177971,2000,The Perfect Storm,An unusually intense storm pattern catches some commercial fishermen unaware and puts them in mortal danger.,Wolfgang Petersen,George Clooney,Mark Wahlberg,John C. Reilly,Action,Adventure,Drama,an unusually intense storm pattern catches some commercial fishermen unaware and puts them in mortal danger ,unaware,pattern,mortal
329.0,tt0120655,1999,Dogma,An abortion clinic worker with a special heritage is called upon to save the existence of humanity from being negated by two renegade angels trying to exploit a loop-hole and reenter Heaven.,Kevin Smith,Ben Affleck,Matt Damon,Linda Fiorentino,Adventure,Comedy,Drama,an abortion clinic worker with a special heritage is called upon to save the existence of humanity from being negated by two renegade angels trying to exploit a loop hole and reenter heaven ,renegade,reenter,negated
2800.0,tt0240890,2001,Serendipity,"A couple search for each other years after the night they first met, fell in love, and separated, convinced that one day they'd end up together.",Peter Chelsom,John Cusack,Kate Beckinsale,Jeremy Piven,Comedy,Romance,,a couple search for each other years after the night they first met fell in love and separated convinced that one day they d end up together ,met,fell,separated
312.0,tt0146882,2000,High Fidelity,"Rob, a record store owner and compulsive list maker, recounts his top five breakups, including the one in progress.",Stephen Frears,John Cusack,Iben Hjejle,Todd Louiso,Comedy,Drama,Music,rob a record store owner and compulsive list maker recounts his top five breakups including the one in progress ,recounts,record,progress
1754.0,tt0088128,1984,Sixteen Candles,"A girl's ""sweet"" sixteenth birthday becomes anything but special, as she suffers from every embarrassment possible.",John Hughes,Molly Ringwald,Anthony Michael Hall,Justin Henry,Comedy,Romance,,a girl s sweet sixteenth birthday becomes anything but special as she suffers from every embarrassment possible ,sweet,suffers,sixteenth
4330.0,tt0114924,1995,While You Were Sleeping,A hopeless romantic Chicago Transit Authority token collector is mistaken for the fiancée of a coma patient.,Jon Turteltaub,Sandra Bullock,Bill Pullman,Peter Gallagher,Comedy,Drama,Romance,a hopeless romantic chicago transit authority token collector is mistaken for the fiancée of a coma patient ,transit,token,patient
3254.0,tt0287978,2003,Daredevil,A man blinded by toxic waste which also enhanced his remaining senses fights crime as an acrobatic martial arts superhero.,Mark Steven Johnson,Ben Affleck,Jennifer Garner,Colin Farrell,Action,Adventure,Crime,a man blinded by toxic waste which also enhanced his remaining senses fights crime as an acrobatic martial arts superhero ,waste,toxic,senses
3905.0,tt0230600,2001,The Others,A woman who lives in her darkened old family house with her two photosensitive children becomes convinced that the home is haunted.,Alejandro Amenábar,Nicole Kidman,Christopher Eccleston,Fionnula Flanagan,Horror,Mystery,Thriller,a woman who lives in her darkened old family house with her two photosensitive children becomes convinced that the home is haunted ,photosensitive,darkened,haunted
2186.0,tt0112442,1995,Bad Boys,Two hip detectives protect a witness to a murder while investigating a case of stolen heroin from the evidence storage room from their police precinct.,Michael Bay,Will Smith,Martin Lawrence,Lisa Boyle,Action,Comedy,Crime,two hip detectives protect a witness to a murder while investigating a case of stolen heroin from the evidence storage room from their police precinct ,witness,storage,stolen
1561.0,tt0328828,2003,American Wedding,"It's the wedding of Jim and Michelle and the gathering of their families and friends, including Jim's old friends from high school and Michelle's little sister.",Jesse Dylan,Jason Biggs,Alyson Hannigan,Seann William Scott,Comedy,,nan,it s the wedding of jim and michelle and the gathering of their families and friends including jim s old friends from high school and michelle s little sister ,michelle,jim,friends
2743.0,tt0253474,2002,The Pianist,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,Roman Polanski,Adrien Brody,Thomas Kretschmann,Frank Finlay,Biography,Drama,Music,a polish jewish musician struggles to survive the destruction of the warsaw ghetto of world war ii ,warsaw,polish,jewish
3538.0,tt0094715,1988,Beaches,"A privileged rich debutante and a cynical struggling entertainer share a turbulent, but strong childhood friendship over the years.",Garry Marshall,Bette Midler,Barbara Hershey,John Heard,Comedy,Drama,Music,a privileged rich debutante and a cynical struggling entertainer share a turbulent but strong childhood friendship over the years ,turbulent,struggling,strong
1073.0,tt0393162,2005,Coach Carter,Controversy surrounds high school basketball coach Ken Carter after he benches his entire team for breaking their academic contract with him.,Thomas Carter,Samuel L. Jackson,Rick Gonzalez,Robert Ri'chard,Biography,Drama,Sport,controversy surrounds high school basketball coach ken carter after he benches his entire team for breaking their academic contract with him ,surrounds,ken,entire
